2018-10-16 13:22:54.143 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:21:54.132+0200 to 2018-10-16T13:22:54.134+0200
2018-10-16 13:22:54.146 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:21:54.132+0200 to 2018-10-16T13:22:54.134+0200
2018-10-16 13:23:54.138 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:22:54.134+0200 to 2018-10-16T13:23:54.136+0200
2018-10-16 13:23:54.140 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:22:54.134+0200 to 2018-10-16T13:23:54.136+0200
2018-10-16 13:24:54.143 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:23:54.136+0200 to 2018-10-16T13:24:54.137+0200
2018-10-16 13:24:54.145 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:23:54.136+0200 to 2018-10-16T13:24:54.137+0200
2018-10-16 13:25:54.150 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:24:54.137+0200 to 2018-10-16T13:25:54.143+0200
2018-10-16 13:25:54.153 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:24:54.137+0200 to 2018-10-16T13:25:54.143+0200
2018-10-16 13:26:54.151 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:25:54.143+0200 to 2018-10-16T13:26:54.146+0200
2018-10-16 13:26:54.152 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:25:54.143+0200 to 2018-10-16T13:26:54.146+0200
2018-10-16 13:27:54.161 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:26:54.146+0200 to 2018-10-16T13:27:54.147+0200
2018-10-16 13:27:54.164 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:26:54.146+0200 to 2018-10-16T13:27:54.147+0200
2018-10-16 13:28:54.158 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:27:54.147+0200 to 2018-10-16T13:28:54.150+0200
2018-10-16 13:28:54.161 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:27:54.147+0200 to 2018-10-16T13:28:54.150+0200
2018-10-16 13:29:54.159 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:28:54.150+0200 to 2018-10-16T13:29:54.152+0200
2018-10-16 13:29:54.162 [vent.ItemStateChangedEvent] - Date changed from 2018-10-16T13:28:54.150+0200 to 2018-10-16T13:29:54.152+0200
2018-10-16 13:30:54.164 [vent.ItemStateChangedEvent] - CurrTime changed from 2018-10-16T13:29:54.152+0200 to 2018-10-16T13:30:54.155+0200
